1,Daniella Ristorante,43,22,18,20,0,40.7468312,-73.9967577
2,Tello's Ristorante,32,20,19,19,0,40.7434213,-73.9995369
3,Biricchino,34,21,13,18,0,40.7488643,-73.9955188
4,Bottino,41,20,20,17,0,40.7484846,-74.0033127
5,Da Umberto,54,24,19,21,0,40.7395815,-73.9959104
6,Le Madri,52,22,22,21,0,40.7406934,-73.9975525
7,Le Zie,34,22,16,21,0,40.7425173,-73.9970315
8,Pasticcio,34,20,18,21,1,40.7435574,-73.9794886
9,Belluno,39,22,19,22,1,40.7574742,-73.9866043
10,Cinque Terre,44,21,17,19,1,40.7500345,-73.9809527
11,Fino,45,19,17,20,1,40.7053293,-74.0083623
12,Marchi's,47,21,19,21,1,40.743159,-73.977576
13,Nicola Paone,52,21,19,20,1,40.7456294,-73.9775121
14,Notaro,35,19,17,19,1,40.7452948,-73.9757772
15,Rossini's,47,20,18,21,1,40.7492299,-73.9789166
16,Trattoria Alba,37,21,19,21,1,40.7452581,-73.9765117
17,Villa Berulia,45,22,18,23,1,40.7469315,-73.9805395
18,Il Postino,57,24,21,22,1,40.7537641,-73.9674672
19,Luna Blu,38,19,17,18,1,40.7877862,-73.971662
20,San Giusto,51,22,20,22,1,40.7546684,-73.968976
21,Grifone,54,23,20,23,1,40.7524063,-73.970995
22,Nanni's,51,23,17,21,1,40.7535761,-73.9736762
23,Osteria Laguna,38,20,18,18,1,40.7506553,-73.9735662
24,Bellini,49,22,21,21,1,40.784664,-73.973303
25,Cellini,45,22,20,22,1,40.7601524,-73.9726722
26,Anche Vivolo,37,19,17,19,1,40.7603202,-73.9661198
27,Bruno Ristorante,50,22,19,22,1,40.7600574,-73.9655842
28,Chianti,43,20,16,18,1,40.7286979,-73.9872499
29,Da Antonio Ristorante,49,22,19,20,1,40.7593008,-73.9688772
30,Harry Cipriani,65,21,20,20,1,40.7643722,-73.9726444
31,La Gioconda,34,20,16,18,1,40.7571212,-73.9683815
32,Bice,51,21,20,18,1,40.7609322,-73.9745417
33,Coco Pazzo Café,49,20,19,19,1,40.7259028,-74.0015739
